variant,seed,test_level,mse_hat_vs_clean,mse_degraded_vs_clean,cos_hat_vs_clean,cos_degraded_vs_clean,cos_hat_vs_degraded,mse_improvement,recovers,mse_mean_predictor,cos_mean_predictor,r2_hat,r2_degraded,centered_cos_hat,centered_cos_degraded,beats_mean_predictor
ed_shuf,0,0.8,0.01142046321183443,0.04208514839410782,0.9756050109863281,0.9104012846946716,0.9270415902137756,0.030664685182273388,True,0.011276578530669212,0.9757827520370483,-0.012759604411381575,-2.7320848943363196,0.001311421045102179,0.020805155858397484,False
ed_shuf,0,1.0,0.01142046321183443,0.08551614731550217,0.9756050109863281,0.8181148171424866,0.8501563668251038,0.07409568410366774,True,0.011276578530669212,0.9757827520370483,-0.012759604411381575,-6.583518979885753,0.001311421045102179,-0.13776278495788574,False
ed_shuf,1,0.0,0.011174623854458332,0.0,0.9761196374893188,1.0,0.9761196374893188,-0.011174623854458332,False,0.011276578530669212,0.9757827520370483,0.009041277541196657,1.0,0.12424898147583008,1.0,True
ed_shuf,1,0.2,0.011174623854458332,0.008332911878824234,0.9761196374893188,0.9822772741317749,0.9712368249893188,-0.002841711975634098,False,0.011276578530669212,0.9757827520370483,0.009041277541196657,0.26104253553850665,0.12424898147583008,0.6384398341178894,True
ed_shuf,1,0.4,0.011174623854458332,0.017251700162887573,0.9761196374893188,0.9632935523986816,0.9613996744155884,0.006077076308429241,True,0.011276578530669212,0.9757827520370483,0.009041277541196657,-0.5298700856795935,0.12424898147583008,0.37913018465042114,True
ed_shuf,1,0.6,0.011174623854458332,0.02802927978336811,0.9761196374893188,0.940339207649231,0.9469732642173767,0.01685465592890978,True,0.011276578530669212,0.9757827520370483,0.009041277541196657,-1.4856191713768614,0.12424898147583008,0.18504689633846283,True
ed_shuf,1,0.8,0.011174623854458332,0.04208514839410782,0.9761196374893188,0.9104012846946716,0.9268320202827454,0.030910524539649487,True,0.011276578530669212,0.9757827520370483,0.009041277541196657,-2.7320848943363196,0.12424898147583008,0.020805155858397484,True
ed_shuf,1,1.0,0.011174623854458332,0.08551614731550217,0.9761196374893188,0.8181148171424866,0.848337709903717,0.07434152346104383,True,0.011276578530669212,0.9757827520370483,0.009041277541196657,-6.583518979885753,0.12424898147583008,-0.13776278495788574,True
ed_shuf,2,0.0,0.011416706256568432,0.0,0.9759100079536438,1.0,0.9759100079536438,-0.011416706256568432,False,0.011276578530669212,0.9757827520370483,-0.012426439945246726,1.0,0.03640114516019821,1.0,False
ed_shuf,2,0.2,0.011416706256568432,0.008332911878824234,0.9759100079536438,0.9822772741317749,0.9706627130508423,-0.003083794377744198,False,0.011276578530669212,0.9757827520370483,-0.012426439945246726,0.26104253553850665,0.03640114516019821,0.6384398341178894,False
ed_shuf,2,0.4,0.011416706256568432,0.017251700162887573,0.9759100079536438,0.9632935523986816,0.9606863260269165,0.005834993906319141,True,0.011276578530669212,0.9757827520370483,-0.012426439945246726,-0.5298700856795935,0.03640114516019821,0.37913018465042114,False
ed_shuf,2,0.6,0.011416706256568432,0.02802927978336811,0.9759100079536438,0.940339207649231,0.9461577534675598,0.01661257352679968,True,0.011276578530669212,0.9757827520370483,-0.012426439945246726,-1.4856191713768614,0.03640114516019821,0.18504689633846283,False
ed_shuf,2,0.8,0.011416706256568432,0.04208514839410782,0.9759100079536438,0.9104012846946716,0.925933837890625,0.030668442137539387,True,0.011276578530669212,0.9757827520370483,-0.012426439945246726,-2.7320848943363196,0.03640114516019821,0.020805155858397484,False
ed_shuf,2,1.0,0.011416706256568432,0.08551614731550217,0.9759100079536438,0.8181148171424866,0.8487012982368469,0.07409944105893373,True,0.011276578530669212,0.9757827520370483,-0.012426439945246726,-6.583518979885753,0.03640114516019821,-0.13776278495788574,False
