regime,arm,seed,test_level,class,support,precision,recall,f1,average_precision,tp,fp,fn,tn
clean,fusion,0,0.2,Coniferous forest,1193,0.7860768672951414,0.9086336965632859,0.8429237947122862,0.93128252319112,1084,295,109,663
clean,fusion,0,0.2,Inland waters,379,0.7112860892388452,0.7150395778364116,0.7131578947368421,0.7168641396558085,271,110,108,1662
clean,fusion,0,0.2,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6838301716350497,0.7600401606425703,0.719923918212078,0.7700287511929782,757,350,239,805
clean,fusion,0,0.2,Marine waters,116,0.8467153284671532,1.0,0.9169960474308301,0.9999999999999997,116,21,0,2014
clean,fusion,0,0.2,Mixed forest,1214,0.6810293237582286,0.9373970345963756,0.7889081455805893,0.8200702108784581,1138,533,76,404
clean,fusion,0,0.2,Pastures,916,0.7411971830985915,0.4596069868995633,0.5673854447439353,0.7445870456967041,421,147,495,1088
clean,fusion,0,0.2,"Transitional woodland, shrub",885,0.6982758620689655,0.18305084745762712,0.2900626678603402,0.5857848311947167,162,70,723,1196
clean,fusion,0,0.2,Urban fabric,265,0.7131147540983607,0.3283018867924528,0.4496124031007752,0.5369636003300924,87,35,178,1851
clean,fusion,0,0.4,Arable land,883,0.6844106463878327,0.8154020385050963,0.7441860465116279,0.825835423953642,720,332,163,936
clean,fusion,0,0.4,Broad-leaved forest,511,0.6915887850467289,0.14481409001956946,0.23948220064724918,0.4978788658236037,74,33,437,1607
clean,fusion,0,0.4,Complex cultivation patterns,1172,0.7125340599455041,0.8924914675767918,0.7924242424242425,0.8379030316630219,1046,422,126,557
clean,fusion,0,0.4,Coniferous forest,1193,0.6784431137724551,0.9497066219614417,0.7914774711840726,0.9198515942511413,1133,537,60,421
clean,fusion,0,0.4,Inland waters,379,0.6940298507462687,0.7361477572559367,0.7144686299615877,0.6919952439762885,279,123,100,1649
clean,fusion,0,0.4,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.7020057306590258,0.7379518072289156,0.7195301027900147,0.764267122850361,735,312,261,843
