variant,regime,seed,test_level,class,support,precision,recall,f1,average_precision,tp,fp,fn,tn
ed_residual,ed_r2,0,0.0,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6883802816901409,0.785140562248996,0.7335834896810507,0.7763821354594804,782,354,214,801
ed_residual,ed_r2,0,0.0,Marine waters,116,1.0,1.0,1.0,0.9999999999999997,116,0,0,2035
ed_residual,ed_r2,0,0.0,Mixed forest,1214,0.7448377581120944,0.8319604612850082,0.7859922178988327,0.8518017122564696,1010,346,204,591
ed_residual,ed_r2,0,0.0,Pastures,916,0.7163461538461539,0.6506550218340611,0.6819221967963387,0.766981526423252,596,236,320,999
ed_residual,ed_r2,0,0.0,"Transitional woodland, shrub",885,0.6108007448789572,0.3706214689265537,0.4613220815752461,0.5709617666059659,328,209,557,1057
ed_residual,ed_r2,0,0.0,Urban fabric,265,0.6451612903225806,0.37735849056603776,0.47619047619047616,0.5676165920777354,100,55,165,1831
ed_residual,ed_r2,0,0.2,Arable land,883,0.7687793427230047,0.7417893544733862,0.7550432276657061,0.8504350994148056,655,197,228,1071
ed_residual,ed_r2,0,0.2,Broad-leaved forest,511,0.4901185770750988,0.48532289628180036,0.48770894788593905,0.5188810098825957,248,258,263,1382
ed_residual,ed_r2,0,0.2,Complex cultivation patterns,1172,0.7714285714285715,0.8754266211604096,0.8201438848920863,0.8598123777842179,1026,304,146,675
ed_residual,ed_r2,0,0.2,Coniferous forest,1193,0.9079333986287953,0.7770326906957251,0.8373983739837398,0.942658169543614,927,94,266,864
ed_residual,ed_r2,0,0.2,Inland waters,379,0.8884120171673819,0.5461741424802111,0.6764705882352942,0.7803114613321382,207,26,172,1746
ed_residual,ed_r2,0,0.2,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.7069133398247323,0.7289156626506024,0.717745921898171,0.7706466484833608,726,301,270,854
ed_residual,ed_r2,0,0.2,Marine waters,116,0.9914529914529915,1.0,0.9957081545064378,0.9999999999999998,116,1,0,2034
ed_residual,ed_r2,0,0.2,Mixed forest,1214,0.7431818181818182,0.8080724876441515,0.7742699289660616,0.8533600836823737,981,339,233,598
ed_residual,ed_r2,0,0.2,Pastures,916,0.7163781624500666,0.5873362445414847,0.6454709058188363,0.7578300549053996,538,213,378,1022
ed_residual,ed_r2,0,0.2,"Transitional woodland, shrub",885,0.5872756933115824,0.4067796610169492,0.48064085447263016,0.5696784898850646,360,253,525,1013
ed_residual,ed_r2,0,0.2,Urban fabric,265,0.6486486486486487,0.3622641509433962,0.4648910411622276,0.5474891564147932,96,52,169,1834
ed_residual,ed_r2,0,0.4,Arable land,883,0.7586206896551724,0.7474518686296716,0.7529948659440958,0.8392517811308995,660,210,223,1058
ed_residual,ed_r2,0,0.4,Broad-leaved forest,511,0.49385245901639346,0.47162426614481406,0.4824824824824825,0.5086644747141021,241,247,270,1393
ed_residual,ed_r2,0,0.4,Complex cultivation patterns,1172,0.7605011053795137,0.8805460750853242,0.8161328588374852,0.8508145793563497,1032,325,140,654
ed_residual,ed_r2,0,0.4,Coniferous forest,1193,0.9113545816733067,0.7669740150880134,0.8329540282203004,0.935753502006929,915,89,278,869
ed_residual,ed_r2,0,0.4,Inland waters,379,0.8760683760683761,0.5408970976253298,0.6688417618270799,0.7725780106964323,205,29,174,1743
ed_residual,ed_r2,0,0.4,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6991321118611379,0.7279116465863453,0.7132316773241515,0.7692398244415152,725,312,271,843
